"Ac","Activities","Uniclass2"
"Ac_20","Administrative, Commercial And Protective Service Activities","Ac"
"Ac_20_10","Legislative Activities","Ac_20"
"Ac_20_10_15","Council Activities","Ac_20_10"
"Ac_20_10_60","Parliamentary Activities","Ac_20_10"
"Ac_20_10_66","Public Viewing Of Council Activities","Ac_20_10"
"Ac_20_10_68","Public Viewing Of Parliamentary Activities","Ac_20_10"
"Ac_20_20","Institutional Administrative Activities","Ac_20"
"Ac_20_20_07","Benefits Administration","Ac_20_20"
"Ac_20_20_40","Individual Institutional Activities","Ac_20_20"
"Ac_20_20_42","Institutional Cash Taking","Ac_20_20"
"Ac_20_20_43","Institutional Word Processing ","Ac_20_20"
"Ac_20_20_44","Job Centre Administration","Ac_20_20"
"Ac_20_20_59","Open-Plan Institutional Activities","Ac_20_20"
"Ac_20_20_65","Press Activities","Ac_20_20"
"Ac_20_20_77","Shared Institutional Activities","Ac_20_20"
"Ac_20_20_96","War Room Activities (crash Planning)","Ac_20_20"
"Ac_20_30","Secular Representative Activities","Ac_20"
"Ac_20_30_16","Consulate Receptions","Ac_20_30"
"Ac_20_30_27","Embassy Receptions","Ac_20_30"
"Ac_20_30_37","High Commission Receptions","Ac_20_30"
"Ac_20_30_47","Legation Receptions","Ac_20_30"
"Ac_20_30_60","Passport Administration","Ac_20_30"
"Ac_20_35","Religious Representative Activities","Ac_20"
"Ac_20_35_71","Religious Representative Receptions","Ac_20_35"
"Ac_20_40","Financial Activities","Ac_20"
"Ac_20_40_06","Banking","Ac_20_40"
"Ac_20_40_07","Bank Telling","Ac_20_40"
"Ac_20_40_19","Currency Exchanging","Ac_20_40"
"Ac_20_40_22","Dealing","Ac_20_40"
"Ac_20_40_75","Safe Depositing","Ac_20_40"
"Ac_20_40_90","Trading","Ac_20_40"
"Ac_20_40_94","Vault Storing","Ac_20_40"
"Ac_20_50","Administrative Activities","Ac_20"
"Ac_20_50_11","Caretaking","Ac_20_50"
"Ac_20_50_28","Executive Activities","Ac_20_50"
"Ac_20_50_30","Filing","Ac_20_50"
"Ac_20_50_42","Individual Administrative Activities","Ac_20_50"
"Ac_20_50_59","Open-Plan Administrative Activities","Ac_20_50"
"Ac_20_50_64","Photocopying","Ac_20_50"
"Ac_20_50_77","Shared Commercial Activities","Ac_20_50"
"Ac_20_50_80","Stationery Storing","Ac_20_50"
"Ac_20_50_96","Word Processing","Ac_20_50"
"Ac_20_50_97","Workstation Activities","Ac_20_50"
"Ac_20_55","Design Activities","Ac_20"
"Ac_20_55_04","Art And Designing","Ac_20_55"
"Ac_20_55_23","Drawing","Ac_20_55"
"Ac_20_60","Motor Vehicle Sale, Maintenance And Fuel Activities","Ac_20"
"Ac_20_60_11","Car Washing","Ac_20_60"
"Ac_20_60_50","Motor Cycle Maintaining","Ac_20_60"
"Ac_20_60_51","Motor Cycle Parts And Accessories Selling","Ac_20_60"
"Ac_20_60_52","Motor Cycle Selling","Ac_20_60"
"Ac_20_60_53","Motor Vehicle Maintaining","Ac_20_60"
"Ac_20_60_54","Motor Vehicle Parts And Accessories Selling","Ac_20_60"
"Ac_20_60_55","Motor Vehicle Selling","Ac_20_60"
"Ac_20_60_62","Petrol Station Air And Water Dispensing","Ac_20_60"
"Ac_20_60_64","Petrol Station Filling","Ac_20_60"
"Ac_20_60_66","Petrol Station Fuel Storing","Ac_20_60"
"Ac_20_62","Commercial Wholesale Activities","Ac_20"
